[ 2025-02-13 15:33:25,316] 13 root - INFO - Test to speech conversion initated
[ 2025-02-13 15:33:39,489] 13 root - INFO - Test to speech conversion initated
[ 2025-02-13 15:34:06,046] 28 root - INFO - Text to speech conversion successful !
[ 2025-02-13 15:36:49,794] 13 root - INFO - Test to speech conversion initated
[ 2025-02-13 15:36:52,282] 28 root - INFO - Text to speech conversion successful !
[ 2025-02-13 15:37:07,589] 13 root - INFO - Test to speech conversion initated
[ 2025-02-13 15:38:07,087] 13 root - INFO - Test to speech conversion initated
[ 2025-02-13 15:43:32,550] 13 root - INFO - Test to speech conversion initated
[ 2025-02-13 15:43:33,975] 28 root - INFO - Text to speech conversion successful !
[ 2025-02-13 16:32:09,689] 111 comtypes.client._code_cache - INFO - Could not import comtypes.gen, trying to create it.
[ 2025-02-13 16:32:09,689] 116 comtypes.client._code_cache - INFO - Created comtypes.gen directory: 'C:\Users\SUDEEP\Desktop\TTS_STT\tts\Lib\site-packages\comtypes\gen'
[ 2025-02-13 16:32:09,690] 119 comtypes.client._code_cache - INFO - Writing __init__.py file: 'C:\Users\SUDEEP\Desktop\TTS_STT\tts\Lib\site-packages\comtypes\gen\__init__.py'
[ 2025-02-13 16:32:09,706] 81 comtypes.client._code_cache - INFO - Using writeable comtypes cache directory: 'C:\Users\SUDEEP\Desktop\TTS_STT\tts\Lib\site-packages\comtypes\gen'
[ 2025-02-13 16:32:09,852] 178 comtypes.client._generate - INFO - Could not import comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4: No module named 'comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4'
[ 2025-02-13 16:32:09,859] 231 comtypes.client._generate - INFO - # Generating comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4
[ 2025-02-13 16:32:09,962] 236 comtypes.client._generate - INFO - # Generating comtypes.gen.SpeechLib
[ 2025-02-13 16:32:09,972] 178 comtypes.client._generate - INFO - Could not import comtypes.gen._00020430_0000_0000_C000_000000000046_0_2_0: No module named 'comtypes.gen._00020430_0000_0000_C000_000000000046_0_2_0'
[ 2025-02-13 16:32:09,973] 231 comtypes.client._generate - INFO - # Generating comtypes.gen._00020430_0000_0000_C000_000000000046_0_2_0
[ 2025-02-13 16:32:09,979] 236 comtypes.client._generate - INFO - # Generating comtypes.gen.stdole
